Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
03/08/2011,1254.25,1261.2,1234.56,1260.34,"6,446,940,000",0,6.95,-19.69,6.09
04/08/2011,1260.23,1260.23,1199.54,1200.07,"4,266,530,000",0,0,-60.69,-60.16
05/08/2011,1200.28,1218.11,1168.09,1199.38,"5,454,590,000",0,17.83,-32.19,-0.9
08/08/2011,1198.48,1198.48,1119.28,1119.46,"2,615,150,000",0,0,-79.2,-79.02
09/08/2011,1120.23,1172.88,1101.54,1172.53,"2,366,660,000",0,52.65,-18.69,52.3
10/08/2011,1171.77,1171.77,1118.01,1120.76,"5,018,070,000",0,0,-53.76,-51.01
11/08/2011,1121.3,1186.29,1121.3,1172.64,"3,685,050,000",0,64.99,0,51.34
12/08/2011,1172.87,1189.04,1170.74,1178.81,"5,640,380,000",0,16.17,-2.13,5.94
15/08/2011,1178.86,1204.49,1178.86,1204.49,"4,272,850,000",0,25.63,0,25.63
16/08/2011,1204.22,1204.22,1180.53,1192.76,"5,071,600,000",0,0,-23.69,-11.46
17/08/2011,1192.89,1208.47,1184.36,1193.89,"4,388,340,000",0,15.58,-8.53,1
18/08/2011,1189.62,1189.62,1131.03,1140.65,"3,234,810,000",0,0,-58.59,-48.97
19/08/2011,1140.47,1154.54,1122.05,1123.53,"5,167,560,000",0,14.07,-18.42,-16.94
22/08/2011,1123.55,1145.49,1121.09,1123.82,"5,436,260,000",0,21.94,-2.46,0.27
23/08/2011,1124.36,1162.35,1124.36,1162.35,"5,013,170,000",0,37.99,0,37.99
24/08/2011,1162.16,1178.56,1156.3,1177.6,"5,315,310,000",0,16.4,-5.86,15.44
25/08/2011,1176.69,1190.68,1155.47,1159.27,"5,748,420,000",0,13.99,-21.22,-17.42
26/08/2011,1158.85,1181.23,1135.91,1176.8,"5,035,320,000",0,22.38,-22.94,17.95
29/08/2011,1177.91,1210.28,1177.91,1210.08,"4,228,070,000",0,32.37,0,32.17
30/08/2011,1209.76,1220.1,1195.77,1212.92,"4,572,570,000",0,10.34,-13.99,3.16
31/08/2011,1213,1230.71,1209.35,1218.89,"5,267,840,000",0,17.71,-3.65,5.89
01/09/2011,1219.12,1229.29,1203.85,1204.42,"4,780,410,000",0,10.17,-15.27,-14.7
02/09/2011,1203.9,1203.9,1170.56,1173.97,"4,401,740,000",0,0,-33.34,-29.93
06/09/2011,1173.97,1173.97,1140.13,1165.24,"5,103,980,000",0,0,-33.84,-8.73
07/09/2011,1165.85,1198.62,1165.85,1198.62,"4,441,040,000",0,32.77,0,32.77
08/09/2011,1197.98,1204.4,1183.34,1185.9,"4,465,170,000",0,6.42,-14.64,-12.08
